gene	diplotype	lookupkey	drug	drugid	suggest	advice	ref_guide	sample	gatkscore	depth	readsratio	cHGVS	pHGVS	zyg	rsID	location	effect	guide
CYP2C9	*1/*1	2.0	piroxicam	PA450985	"<p>Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.</p>
"	CYP2C9: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2C9	*1/*1	2.0	tenoxicam	PA131890625	"<p>Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.</p>
"	CYP2C9: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	atomoxetine	PA134688071	"<p>Initiate with a dose of 0.5 mg/kg/day and increase to 1.2 mg/kg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If &lt; 200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Therapeutic range of 200 to 1000 ng/mL has been proposed (PMID 29493375). Limited data are available regarding the relationship between atomoxetine plasma concentrations and clinical response. Available information suggests that clinical response is greater in poor metabolizers (PMs) compared to non-PMs and may be related to the higher plasma concentrations 1 to 1.5 hours after dosing in PMs compared to non-PMs administered a similar dose. Furthermore, modest improvement in response, defined as reduction in ADHD-rating scale, is observed at peak concentrations greater than 400 ng/mL.</p>
"	CYP2D6: Normal metabolizers of atomoxetine have a lower likelihood of response as compared to poor metabolizers. This is associated with increased discontinuation due to lack of efficacy as compared to poor metabolizers.	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	atomoxetine	PA134688071	"<p>Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If &lt;200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL. Dosages greater than 100 mg/day may be needed to achieve target concentrations.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Therapeutic range of 200 to 1000 ng/mL has been proposed (PMID 29493375). Limited data are available regarding the relationship between atomoxetine plasma concentrations and clinical response. Available information suggests that clinical response is greater in poor metabolizers (PMs) compared to non-PMs and may be related to the higher plasma concentrations 1 to 1.5 hours after dosing in PMs compared to non-PMs administered a similar dose. Furthermore, modest improvement in response, defined as reduction in ADHD-rating scale, is observed at peak concentrations greater than 400 ng/mL. Doses above 120 mg/day have not been evaluated.</p>
"	CYP2D6: Normal metabolizers of atomoxetine have a lower likelihood of response as compared to poor metabolizers. This is associated with increased discontinuation due to lack of efficacy as compared to poor metabolizers.	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	codeine	PA449088	"<p>Use codeine label recommended age- or weight-specific dosing.</p>
"	CYP2D6: Expected morphine formation	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	desipramine	PA449233	"<p>Initiate therapy with recommended starting dose</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
"	CYP2D6: Normal metabolism of TCAs	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	fluvoxamine	PA449690	"<p>Initiate therapy with recommended starting dose.</p>
"	CYP2D6: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	hydrocodone	PA449900	"<p>Use hydrocodone label recommended age- or weight-specific dosing.</p>
"	CYP2D6: Normal hydromorphone formation	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	metoprolol	PA450480	"<p>Initiate standard dosing</p>
"	Normal metabolism of metoprolol	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	nortriptyline	PA450657	"<p>Initiate therapy with recommended starting dose</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
"	CYP2D6: Normal metabolism of tricyclic antidepressants	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	ondansetron	PA450705	"<p>Initiate therapy with recommended starting dose.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Drug-drug interactions and other patient characteristics (e.g., age, renal function, and liver function) should be considered when selecting alternative therapy.</p>
"	CYP2D6: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	paroxetine	PA450801	"<p>Initiate therapy with recommended starting dose</p>
"	CYP2D6: Normal metabolism of paroxetine to less active compounds. Paroxetine-associated phenoconversion of normal metabolizers to intermediate or poor metabolizers due to CYP2D6 autoinhibition may occur and is dose-dependent and greater at steady state concentrations.	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	tamoxifen	PA451581	"<p>Avoid moderate and strong CYP2D6 inhibitors. Initiate therapy with recommended standard of care dosing (tamoxifen 20 mg/day).</p>
"	CYP2D6: Therapeutic endoxifen concentrations	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	tramadol	PA451735	"<p>Use tramadol label recommended age- or weight-specific dosing.</p>
"	CYP2D6: Expected O-desmethyltramadol (active metabolite) formation	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	tropisetron	PA161925594	"<p>Initiate therapy with recommended starting dose.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Drug-drug interactions and other patient characteristics (e.g., age, renal function, and liver function) should be considered when selecting alternative therapy.</p>
"	CYP2D6: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	venlafaxine	PA451866	"<p>Initiate therapy with recommended starting dose.</p>
"	CYP2D6: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	vortioxetine	PA166122595	"<p>Initiate therapy with recommended starting dose.</p>
"	CYP2D6: Normal metabolism.	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	amitriptyline	PA448385	"<p>The guideline does not provide a recommendation for amitriptyline in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on amitriptyline.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	aripiprazole	PA10026	"<p>The guideline does not provide a recommendation for aripiprazole in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on aripiprazole.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	atomoxetine	PA134688071	"<p>The guideline does not provide a recommendation for atomoxetine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on atomoxetine.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	brexpiprazole	PA166160053	"<p>The guideline does not provide a recommendation for brexpiprazole in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on brexpiprazole.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	clomipramine	PA449048	"<p>The guideline does not provide a recommendation for clomipramine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on clomipramine.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	codeine	PA449088	"<p>The guideline does not provide a recommendation for codeine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on codeine.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	doxepin	PA449409	"<p>The guideline does not provide a recommendation for doxepin in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on doxepin.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	eliglustat	PA166123486	"<p>The guideline does not provide a recommendation for eliglustat in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on eliglustat.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	flecainide	PA449646	"<p>The guideline does not provide a recommendation for flecainide in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on flecainide.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	haloperidol	PA449841	"<p>The guideline does not provide a recommendation for haloperidol in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on haloperidol.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	imipramine	PA449969	"<p>The guideline does not provide a recommendation for imipramine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on imipramine.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	metoprolol	PA450480	"<p>The guideline does not provide a recommendation for metoprolol in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on metoprolol.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	nortriptyline	PA450657	"<p>The guideline does not provide a recommendation for nortriptyline in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on nortriptyline.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	paroxetine	PA450801	"<p>The guideline does not provide a recommendation for paroxetine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on paroxetine.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	pimozide	PA450965	"<p>The guideline does not provide a recommendation for pimozide in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on pimozide.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	propafenone	PA451131	"<p>The guideline does not provide a recommendation for propafenone in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on propafenone.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	risperidone	PA451257	"<p>The guideline does not provide a recommendation for risperidone in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on risperidone.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	tamoxifen	PA451581	"<p>The guideline does not provide a recommendation for tamoxifen in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on tamoxifen.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	tramadol	PA451735	"<p>The guideline does not provide a recommendation for tramadol in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on tramadol.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	venlafaxine	PA451866	"<p>The guideline does not provide a recommendation for venlafaxine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on venlafaxine.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	zuclopenthixol	PA452629	"<p>The guideline does not provide a recommendation for zuclopenthixol in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on zuclopenthixol.	DPWG	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	eliglustat	PA166123486	"<p>CYP2D6 normal metabolizers have a recommended dose of 84 mg orally twice daily.</p>
"		FDA	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	meclizine	PA450338	"<p>&quot;... when ANTIVERT® [meclizine] is administered to patients with CYP2D6 polymorphism, monitor for adverse reactions and clinical effect accordingly.&quot; See label for more information.</p>
"	"""The genetic polymorphism of CYP2D6 that results in poor-, intermediate-, extensive-, and ultrarapid metabolizer phenotypes could contribute to large inter-individual variability in meclizine exposure."""	FDA	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	tetrabenazine	PA140222719	"<p>&quot;Genotyped patients who are identified as extensive (EMs) or intermediate metabolizers (IMs) of
CYP2D6, who need doses of XENAZINE [tetrabenazine] above 50 mg per day, should be titrated up slowly at
weekly intervals by 12.5 mg daily, to allow the identification of a tolerated dose that reduces
chorea. Doses above 50 mg per day should be given in a three times a day regimen. The
maximum recommended daily dose is 100 mg and the maximum recommended single dose is
37.5 mg. If adverse reactions such as akathisia, parkinsonism, depression, insomnia, anxiety or
sedation occur, titration should be stopped and the dose should be reduced. If the adverse
reaction does not resolve, consideration should be given to withdrawing XENAZINE [tetrabenazine] treatment
or initiating other specific treatment.&quot; See label for more information</p>
"		FDA	.	.	.	.	.	.	.	.	.	.	2.0
CYP2D6	*1/*1	2.0	eliglustat	PA166123486	"<p>&quot;Alters systemic concentrations, effectiveness, and adverse reaction risk (QT prolongation). Indicated for normal, intermediate, and poor metabolizer patients. Ultrarapid metabolizers may not achieve adequate concentrations to achieve a therapeutic effect. The recommended dosages are based on CYP2D6 metabolizer status. Coadministration with strong CYP3A inhibitors is contraindicated in intermediate and poor CYP2D6 metabolizers. Refer to FDA labeling for specific dosing recommendations.&quot;</p>
"		FDA	.	.	.	.	.	.	.	.	.	.	2.0
CYP3A5	*1/*1	Normal Metabolizer	tacrolimus	PA451578	"<p>Increase starting dose 1.5 to 2 times recommended starting dose. Total starting dose should not exceed 0.3 mg/kg/day. Use therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>This recommendation includes the use of tacrolimus in kidney, heart, lung and hematopoietic stem cell transplant patients, and liver transplant patients where the donor and recipient genotypes are identical. Further dose adjustments or selection of alternative therapy may be necessary due to other clinical factors (e.g., medication interactions, or hepatic function). Typically with other CYP enzymes, a normal metabolizer would be classified as having normal metabolism, and therefore, the drug dose would not change based on the patient’s genotype. However, in the case of CYP3A5 and tacrolimus, a CYP3A5 expresser (i.e., CYP3A5 normal metabolizer or intermediate metabolizer) would require a higher recommended starting dose, and the CYP3A5 non-expresser (i.e., poor metabolizer) would require the standard recommended starting dose.</p>
"	CYP3A5: Lower dose-adjusted trough concentrations of tacrolimus and decreased chance of achieving target tacrolimus concentrations.	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP3A5	*1/*1	Normal Metabolizer	tacrolimus	PA451578	"<p>LIVER TRANSPLANTATION
In addition to the patient’s genotype, the metabolism of tacrolimus is also determined by the genotype of the transplanted liver.
LIVER is also of the genotype HOMOZYGOUS EXPRESSOR: Use 2.5 times the normal initial dose. Adjustment of the dose should then be based on therapeutic drug monitoring.
LIVER has a DIFFERENT genotype: There is insufficient evidence in the literature to support a dose recommendation.</p>
<p>OTHER TRANSPLANTATION
Use 2.5 times the initial dose that would yield the desired result in non-expressers. Adjustment of the dose should then be based on therapeutic drug monitoring. For example: One Dutch study found a median trough concentration for tacrolimus after three days of 9.4 ng/mL at an initial dose of 0.15 mg/kg twice daily for 5 homozygous kidney transplant patients. Their target value was 10 - 15 ng/mL.</p>
"	An increase of the initial dose can result in an increased chance of reaching a tacrolimus concentration within the target range before the start of therapeutic drug monitoring. However, there is no direct evidence that this results in improved clinical results. The genetic variation results in an increased conversion of tacrolimus to inactive metabolites and therefore a higher required dose.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP3A5	*1/*1	Normal Metabolizer	tacrolimus	PA451578	"<p>&quot;Results in lower systemic concentrations, lower probability of achieving target concentrations and may result in higher rejection risk. Measure drug concentrations and adjust dosage based on trough whole blood tacrolimus concentrations.&quot;</p>
"		FDA	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
DPYD	Reference/Reference	2.0	capecitabine	PA448771	"<p>Based on genotype, there is no indication to change dose or therapy. Use label-recommended dosage and administration.</p>
"	"DPYD: Normal DPD activity and ""normal"" risk for fluoropyrimidine toxicity"	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
DPYD	Reference/Reference	2.0	fluorouracil	PA128406956	"<p>Based on genotype, there is no indication to change dose or therapy. Use label-recommended dosage and administration.</p>
"	"DPYD: Normal DPD activity and ""normal"" risk for fluoropyrimidine toxicity"	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
G6PD	B (reference)	Normal	toluidine blue	PA166268821	"<p>No reason to avoid based on G6PD status</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Toluidine blue classification strength is based on extrapolation from methylene blue data</p>
"	G6PD: Low risk of acute hemolytic anemia	CPIC	.	.	.	.	.	.	.	.	.	.	Normal
G6PD	B (reference)	Normal	rasburicase	PA10176	"<p>No reason to avoid based on G6PD status</p>
"	G6PD: Low risk of acute hemolytic anemia	CPIC	.	.	.	.	.	.	.	.	.	.	Normal
G6PD	B (reference)	Normal	dapsone	PA449211	"<p>No reason to avoid based on G6PD status</p>
"	G6PD: Low risk of acute hemolytic anemia	CPIC	.	.	.	.	.	.	.	.	.	.	Normal
