Guideline Name,Name,Related Chemicals,Text,Implications,Lookup Key
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296973,paromomycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296964,amikacin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296977,streptomycin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296968,kanamycin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296981,tobramycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296972,paromomycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296963,amikacin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296976,plazomicin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296967,gentamicin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296980,tobramycin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296971,paromomycin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296975,plazomicin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296966,gentamicin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296979,streptomycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344542,netilmicin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344543,netilmicin,"<p>Learn more about the Other Guidance tag(opens in new window)
Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344546,dibekacin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-guidance"">Other Guidance</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344545,dibekacin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344581,ribostamycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344601,ribostamycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344603,neomycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344602,neomycin,"<p>Learn more about the Other Guidance tag(opens in new window)
Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344541,netilmicin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296962,amikacin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344544,dibekacin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344561,ribostamycin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation Annotation PA166344621,neomycin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amitriptyline and CYP2C19, CYP2D6",Recommendation PA166297055,amitriptyline,"<p>Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.5; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for amitriptyline and CYP2C19, CYP2D6",Recommendation PA166297152,amitriptyline,"<p>Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=1.0; CYP2C19=Likely Poor Metabolizer
"Annotation of CPIC Guideline for amitriptyline and CYP2C19, CYP2D6",Recommendation PA166297108,amitriptyline,"<p>No recommendation</p>
",CYP2C19: n/a; CYP2D6: Normal metabolism of TCAs,CYP2D6=1.25; CYP2C19=Indeterminate
